,Season,Game,Score,Teams,Home Team,Away Team
1059,2002-2003,30,2-1,Rayo Vallecano - Valencia,Rayo Vallecano,Valencia
1060,2002-2003,31,0-0,Málaga - Rayo Vallecano,Málaga,Rayo Vallecano
1061,2002-2003,31,0-0,Real Betis - Sevilla,Real Betis,Sevilla
1062,2002-2003,31,3-2,Las Palmas - Villarreal,Las Palmas,Villarreal
1063,2002-2003,31,3-1,Real Madrid - Real Zaragoza,Real Madrid,Real Zaragoza
1064,2002-2003,31,0-2,Mallorca - R. Sociedad,Mallorca,R. Sociedad
1065,2002-2003,31,1-2,Espanyol - Alavés,Espanyol,Alavés
1066,2002-2003,31,3-1,Deportivo - Tenerife,Deportivo,Tenerife
1067,2002-2003,31,1-6,Athletic - Celta,Athletic,Celta
1068,2002-2003,31,2-1,Valencia - Osasuna,Valencia,Osasuna
1069,2002-2003,31,1-2,Real Valladolid - Barcelona,Real Valladolid,Barcelona
1070,2002-2003,32,0-1,Sevilla - Real Madrid,Sevilla,Real Madrid
1071,2002-2003,32,1-1,R. Sociedad - Deportivo,R. Sociedad,Deportivo
1072,2002-2003,32,1-1,Barcelona - Las Palmas,Barcelona,Las Palmas
1073,2002-2003,32,3-1,Celta - Alavés,Celta,Alavés
1074,2002-2003,32,0-1,Tenerife - Valencia,Tenerife,Valencia
1075,2002-2003,32,0-2,Osasuna - Málaga,Osasuna,Málaga
1076,2002-2003,32,2-1,Mallorca - Espanyol,Mallorca,Espanyol
1077,2002-2003,32,5-2,Villarreal - Athletic,Villarreal,Athletic
1078,2002-2003,32,0-0,Real Zaragoza - Real Valladolid,Real Zaragoza,Real Valladolid
1079,2002-2003,32,0-0,Rayo Vallecano - Real Betis,Rayo Vallecano,Real Betis
1080,2002-2003,33,3-1,Real Madrid - Rayo Vallecano,Real Madrid,Rayo Vallecano
1081,2002-2003,33,5-0,Deportivo - Mallorca,Deportivo,Mallorca
1082,2002-2003,33,0-2,Athletic - Barcelona,Athletic,Barcelona
1083,2002-2003,33,1-1,Las Palmas - Real Zaragoza,Las Palmas,Real Zaragoza
1084,2002-2003,33,2-0,Málaga - Tenerife,Málaga,Tenerife
1085,2002-2003,33,2-0,Espanyol - Celta,Espanyol,Celta
1086,2002-2003,33,1-1,Real Valladolid - Sevilla,Real Valladolid,Sevilla
1087,2002-2003,33,2-1,Alavés - Villarreal,Alavés,Villarreal
1088,2002-2003,33,4-0,Valencia - R. Sociedad,Valencia,R. Sociedad
1089,2002-2003,33,0-0,Real Betis - Osasuna,Real Betis,Osasuna
1090,2002-2003,34,1-1,Mallorca - Valencia,Mallorca,Valencia
1091,2002-2003,34,2-1,Villarreal - Celta,Villarreal,Celta
1092,2002-2003,34,2-1,R. Sociedad - Málaga,R. Sociedad,Málaga
1093,2002-2003,34,1-1,Sevilla - Las Palmas,Sevilla,Las Palmas
1094,2002-2003,34,1-0,Rayo Vallecano - Real Valladolid,Rayo Vallecano,Real Valladolid
1095,2002-2003,34,3-1,Deportivo - Espanyol,Deportivo,Espanyol
1096,2002-2003,34,3-2,Barcelona - Alavés,Barcelona,Alavés
1097,2002-2003,34,2-1,Tenerife - Real Betis,Tenerife,Real Betis
1098,2002-2003,34,2-2,Real Zaragoza - Athletic,Real Zaragoza,Athletic
1099,2002-2003,34,3-1,Osasuna - Real Madrid,Osasuna,Real Madrid
1100,2002-2003,35,2-1,Celta - Barcelona,Celta,Barcelona
1101,2002-2003,35,4-1,Real Madrid - Tenerife,Real Madrid,Tenerife
1102,2002-2003,35,0-2,Las Palmas - Rayo Vallecano,Las Palmas,Rayo Vallecano
1103,2002-2003,35,0-0,Málaga - Mallorca,Málaga,Mallorca
1104,2002-2003,35,3-1,Espanyol - Villarreal,Espanyol,Villarreal
1105,2002-2003,35,0-1,Athletic - Sevilla,Athletic,Sevilla
1106,2002-2003,35,3-0,Real Betis - R. Sociedad,Real Betis,R. Sociedad
1107,2002-2003,35,2-1,Alavés - Real Zaragoza,Alavés,Real Zaragoza
1108,2002-2003,35,1-0,Real Valladolid - Osasuna,Real Valladolid,Osasuna
1109,2002-2003,35,1-0,Valencia - Deportivo,Valencia,Deportivo
1110,2002-2003,36,4-1,Barcelona - Villarreal,Barcelona,Villarreal
1111,2002-2003,36,3-0,R. Sociedad - Real Madrid,R. Sociedad,Real Madrid
1112,2002-2003,36,2-1,Valencia - Espanyol,Valencia,Espanyol
1113,2002-2003,36,0-1,Real Zaragoza - Celta,Real Zaragoza,Celta
1114,2002-2003,36,4-2,Rayo Vallecano - Athletic,Rayo Vallecano,Athletic
1115,2002-2003,36,2-0,Sevilla - Alavés,Sevilla,Alavés
1116,2002-2003,36,1-3,Mallorca - Real Betis,Mallorca,Real Betis
1117,2002-2003,36,1-5,Tenerife - Real Valladolid,Tenerife,Real Valladolid
1118,2002-2003,36,3-2,Osasuna - Las Palmas,Osasuna,Las Palmas
1119,2002-2003,36,2-2,Deportivo - Málaga,Deportivo,Málaga
1120,2002-2003,37,2-0,Barcelona - Espanyol,Barcelona,Espanyol
1121,2002-2003,37,0-1,Alavés - Rayo Vallecano,Alavés,Rayo Vallecano
1122,2002-2003,37,1-3,Real Valladolid - R. Sociedad,Real Valladolid,R. Sociedad
1123,2002-2003,37,0-0,Real Madrid - Mallorca,Real Madrid,Mallorca
1124,2002-2003,37,0-2,Málaga - Valencia,Málaga,Valencia
1125,2002-2003,37,0-1,Las Palmas - Tenerife,Las Palmas,Tenerife
1126,2002-2003,37,1-2,Celta - Sevilla,Celta,Sevilla
1127,2002-2003,37,1-1,Athletic - Osasuna,Athletic,Osasuna
1128,2002-2003,37,0-3,Real Betis - Deportivo,Real Betis,Deportivo
1129,2002-2003,37,2-1,Villarreal - Real Zaragoza,Villarreal,Real Zaragoza
1130,2002-2003,38,3-0,Deportivo - Real Madrid,Deportivo,Real Madrid
1131,2002-2003,38,2-0,Valencia - Real Betis,Valencia,Real Betis
1132,2002-2003,38,2-3,Tenerife - Athletic,Tenerife,Athletic
1133,2002-2003,38,1-1,R. Sociedad - Las Palmas,R. Sociedad,Las Palmas
1134,2002-2003,38,1-0,Sevilla - Villarreal,Sevilla,Villarreal
1135,2002-2003,38,1-0,Rayo Vallecano - Celta,Rayo Vallecano,Celta
1136,2002-2003,38,0-1,Osasuna - Alavés,Osasuna,Alavés
1137,2002-2003,38,2-1,Mallorca - Real Valladolid,Mallorca,Real Valladolid
1138,2002-2003,38,1-2,Espanyol - Málaga,Espanyol,Málaga
1139,2002-2003,38,1-1,Real Zaragoza - Barcelona,Real Zaragoza,Barcelona
1140,2003-2004,1,0-1,Racing - Real Valladolid,Racing,Real Valladolid
1141,2003-2004,1,2-2,Rayo Vallecano - Alavés,Rayo Vallecano,Alavés
1142,2003-2004,1,4-2,R. Sociedad - Athletic,R. Sociedad,Athletic
1143,2003-2004,1,0-2,Mallorca - Valencia,Mallorca,Valencia
1144,2003-2004,1,2-3,Recreativo - Málaga,Recreativo,Málaga
1145,2003-2004,1,2-2,Villarreal - Osasuna,Villarreal,Osasuna
1146,2003-2004,1,2-4,Deportivo - Real Betis,Deportivo,Real Betis
1147,2003-2004,1,2-2,Barcelona - Atlético,Barcelona,Atlético
1148,2003-2004,1,0-1,Sevilla - Celta,Sevilla,Celta
1149,2003-2004,1,2-0,Real Madrid - Espanyol,Real Madrid,Espanyol
1150,2003-2004,2,2-1,Málaga - Rayo Vallecano,Málaga,Rayo Vallecano
1151,2003-2004,2,1-2,Osasuna - Deportivo,Osasuna,Deportivo
1152,2003-2004,2,0-2,Athletic - Barcelona,Athletic,Barcelona
1153,2003-2004,2,3-0,Valencia - Recreativo,Valencia,Recreativo
1154,2003-2004,2,0-1,Alavés - Racing,Alavés,Racing
1155,2003-2004,2,1-3,Espanyol - R. Sociedad,Espanyol,R. Sociedad
1156,2003-2004,2,3-1,Celta - Mallorca,Celta,Mallorca
1157,2003-2004,2,1-0,Real Valladolid - Villarreal,Real Valladolid,Villarreal
1158,2003-2004,2,1-1,Atlético - Sevilla,Atlético,Sevilla
1159,2003-2004,2,1-1,Real Betis - Real Madrid,Real Betis,Real Madrid
1160,2003-2004,3,4-1,Real Madrid - Osasuna,Real Madrid,Osasuna
1161,2003-2004,3,2-0,Barcelona - Espanyol,Barcelona,Espanyol
1162,2003-2004,3,2-0,Deportivo - Real Valladolid,Deportivo,Real Valladolid
1163,2003-2004,3,1-1,Sevilla - Athletic,Sevilla,Athletic
1164,2003-2004,3,0-3,Recreativo - Celta,Recreativo,Celta
1165,2003-2004,3,3-1,Rayo Vallecano - Racing,Rayo Vallecano,Racing
1166,2003-2004,3,0-1,Villarreal - Alavés,Villarreal,Alavés
1167,2003-2004,3,0-4,Mallorca - Atlético,Mallorca,Atlético
1168,2003-2004,3,2-2,Málaga - Valencia,Málaga,Valencia
1169,2003-2004,3,3-3,R. Sociedad - Real Betis,R. Sociedad,Real Betis
1170,2003-2004,4,1-2,Alavés - Deportivo,Alavés,Deportivo
1171,2003-2004,4,3-0,Real Betis - Barcelona,Real Betis,Barcelona
1172,2003-2004,4,1-1,Real Valladolid - Real Madrid,Real Valladolid,Real Madrid
1173,2003-2004,4,1-1,Racing - Villarreal,Racing,Villarreal
1174,2003-2004,4,0-0,Espanyol - Sevilla,Espanyol,Sevilla
1175,2003-2004,4,2-2,Celta - Málaga,Celta,Málaga
1176,2003-2004,4,0-2,Athletic - Mallorca,Athletic,Mallorca
1177,2003-2004,4,1-1,Atlético - Recreativo,Atlético,Recreativo
1178,2003-2004,4,2-3,Osasuna - R. Sociedad,Osasuna,R. Sociedad
1179,2003-2004,4,3-0,Valencia - Rayo Vallecano,Valencia,Rayo Vallecano
1180,2003-2004,5,1-2,Recreativo - Athletic,Recreativo,Athletic
1181,2003-2004,5,5-2,Real Madrid - Alavés,Real Madrid,Alavés
1182,2003-2004,5,2-1,R. Sociedad - Real Valladolid,R. Sociedad,Real Valladolid
1183,2003-2004,5,3-1,Málaga - Atlético,Málaga,Atlético
1184,2003-2004,5,2-0,Mallorca - Espanyol,Mallorca,Espanyol
1185,2003-2004,5,0-2,Deportivo - Racing,Deportivo,Racing
1186,2003-2004,5,2-2,Rayo Vallecano - Villarreal,Rayo Vallecano,Villarreal
1187,2003-2004,5,2-2,Barcelona - Osasuna,Barcelona,Osasuna
1188,2003-2004,5,0-1,Valencia - Celta,Valencia,Celta
1189,2003-2004,5,1-1,Sevilla - Real Betis,Sevilla,Real Betis
1190,2003-2004,6,3-1,Villarreal - Deportivo,Villarreal,Deportivo
1191,2003-2004,6,2-0,Racing - Real Madrid,Racing,Real Madrid
1192,2003-2004,6,1-1,Atlético - Valencia,Atlético,Valencia
1193,2003-2004,6,0-1,Real Betis - Mallorca,Real Betis,Mallorca
1194,2003-2004,6,1-1,Athletic - Málaga,Athletic,Málaga
1195,2003-2004,6,2-2,Alavés - R. Sociedad,Alavés,R. Sociedad
1196,2003-2004,6,0-1,Celta - Rayo Vallecano,Celta,Rayo Vallecano
1197,2003-2004,6,2-0,Espanyol - Recreativo,Espanyol,Recreativo
1198,2003-2004,6,2-1,Osasuna - Sevilla,Osasuna,Sevilla
1199,2003-2004,6,2-1,Real Valladolid - Barcelona,Real Valladolid,Barcelona
1200,2003-2004,7,1-1,Recreativo - Real Betis,Recreativo,Real Betis
1201,2003-2004,7,1-1,Real Madrid - Villarreal,Real Madrid,Villarreal
1202,2003-2004,7,5-1,Valencia - Athletic,Valencia,Athletic
1203,2003-2004,7,1-2,Rayo Vallecano - Deportivo,Rayo Vallecano,Deportivo
1204,2003-2004,7,6-1,Barcelona - Alavés,Barcelona,Alavés
1205,2003-2004,7,0-0,Celta - Atlético,Celta,Atlético
1206,2003-2004,7,3-4,Málaga - Espanyol,Málaga,Espanyol
1207,2003-2004,7,2-0,Mallorca - Osasuna,Mallorca,Osasuna
1208,2003-2004,7,2-1,Sevilla - Real Valladolid,Sevilla,Real Valladolid
1209,2003-2004,7,2-1,R. Sociedad - Racing,R. Sociedad,Racing
1210,2003-2004,8,2-0,Atlético - Rayo Vallecano,Atlético,Rayo Vallecano
1211,2003-2004,8,1-3,Real Valladolid - Mallorca,Real Valladolid,Mallorca
1212,2003-2004,8,0-0,Deportivo - Real Madrid,Deportivo,Real Madrid
1213,2003-2004,8,0-1,Osasuna - Recreativo,Osasuna,Recreativo
1214,2003-2004,8,0-1,Espanyol - Valencia,Espanyol,Valencia
1215,2003-2004,8,3-0,Real Betis - Málaga,Real Betis,Málaga
1216,2003-2004,8,2-1,Athletic - Celta,Athletic,Celta
1217,2003-2004,8,0-1,Villarreal - R. Sociedad,Villarreal,R. Sociedad
1218,2003-2004,8,1-0,Alavés - Sevilla,Alavés,Sevilla
1219,2003-2004,8,1-1,Racing - Barcelona,Racing,Barcelona
1220,2003-2004,9,1-0,Málaga - Osasuna,Málaga,Osasuna
1221,2003-2004,9,1-1,R. Sociedad - Deportivo,R. Sociedad,Deportivo
1222,2003-2004,9,2-3,Rayo Vallecano - Real Madrid,Rayo Vallecano,Real Madrid
1223,2003-2004,9,1-0,Barcelona - Villarreal,Barcelona,Villarreal
1224,2003-2004,9,1-1,Valencia - Real Betis,Valencia,Real Betis
1225,2003-2004,9,1-3,Recreativo - Real Valladolid,Recreativo,Real Valladolid
1226,2003-2004,9,3-1,Mallorca - Alavés,Mallorca,Alavés
1227,2003-2004,9,1-0,Celta - Espanyol,Celta,Espanyol
1228,2003-2004,9,1-0,Sevilla - Racing,Sevilla,Racing
1229,2003-2004,9,3-3,Atlético - Athletic,Atlético,Athletic
1230,2003-2004,10,1-0,Villarreal - Sevilla,Villarreal,Sevilla
1231,2003-2004,10,2-0,Deportivo - Barcelona,Deportivo,Barcelona
1232,2003-2004,10,1-2,Racing - Mallorca,Racing,Mallorca
1233,2003-2004,10,1-0,Osasuna - Valencia,Osasuna,Valencia
1234,2003-2004,10,1-2,Espanyol - Atlético,Espanyol,Atlético
1235,2003-2004,10,2-1,Athletic - Rayo Vallecano,Athletic,Rayo Vallecano
1236,2003-2004,10,3-0,Alavés - Recreativo,Alavés,Recreativo
1237,2003-2004,10,0-0,Real Valladolid - Málaga,Real Valladolid,Málaga
1238,2003-2004,10,0-0,Real Madrid - R. Sociedad,Real Madrid,R. Sociedad
1239,2003-2004,10,2-1,Real Betis - Celta,Real Betis,Celta
1240,2003-2004,11,1-1,Sevilla - Deportivo,Sevilla,Deportivo
1241,2003-2004,11,0-0,Barcelona - Real Madrid,Barcelona,Real Madrid
1242,2003-2004,11,0-0,Rayo Vallecano - R. Sociedad,Rayo Vallecano,R. Sociedad
1243,2003-2004,11,2-1,Recreativo - Racing,Recreativo,Racing
1244,2003-2004,11,1-1,Mallorca - Villarreal,Mallorca,Villarreal
1245,2003-2004,11,0-0,Málaga - Alavés,Málaga,Alavés
1246,2003-2004,11,0-0,Celta - Osasuna,Celta,Osasuna
1247,2003-2004,11,4-1,Athletic - Espanyol,Athletic,Espanyol
1248,2003-2004,11,2-0,Valencia - Real Valladolid,Valencia,Real Valladolid
1249,2003-2004,11,1-0,Atlético - Real Betis,Atlético,Real Betis
1250,2003-2004,12,1-0,Osasuna - Atlético,Osasuna,Atlético
1251,2003-2004,12,0-0,Alavés - Valencia,Alavés,Valencia
1252,2003-2004,12,1-0,Real Betis - Athletic,Real Betis,Athletic
1253,2003-2004,12,1-0,Villarreal - Recreativo,Villarreal,Recreativo
1254,2003-2004,12,3-1,Espanyol - Rayo Vallecano,Espanyol,Rayo Vallecano
1255,2003-2004,12,0-2,Real Valladolid - Celta,Real Valladolid,Celta
1256,2003-2004,12,1-0,Racing - Málaga,Racing,Málaga
1257,2003-2004,12,2-1,R. Sociedad - Barcelona,R. Sociedad,Barcelona
1258,2003-2004,12,2-2,Deportivo - Mallorca,Deportivo,Mallorca
1259,2003-2004,12,3-0,Real Madrid - Sevilla,Real Madrid,Sevilla
1260,2003-2004,13,1-1,Málaga - Villarreal,Málaga,Villarreal
1261,2003-2004,13,1-1,Recreativo - Deportivo,Recreativo,Deportivo
1262,2003-2004,13,1-0,Rayo Vallecano - Barcelona,Rayo Vallecano,Barcelona
1263,2003-2004,13,0-1,Sevilla - R. Sociedad,Sevilla,R. Sociedad
1264,2003-2004,13,2-0,Valencia - Racing,Valencia,Racing
1265,2003-2004,13,2-4,Espanyol - Real Betis,Espanyol,Real Betis
1266,2003-2004,13,1-3,Athletic - Osasuna,Athletic,Osasuna
1267,2003-2004,13,2-1,Celta - Alavés,Celta,Alavés
1268,2003-2004,13,1-5,Mallorca - Real Madrid,Mallorca,Real Madrid
1269,2003-2004,13,1-0,Atlético - Real Valladolid,Atlético,Real Valladolid
1270,2003-2004,14,2-0,Alavés - Atlético,Alavés,Atlético
1271,2003-2004,14,0-2,Villarreal - Valencia,Villarreal,Valencia
1272,2003-2004,14,0-1,Real Betis - Rayo Vallecano,Real Betis,Rayo Vallecano
1273,2003-2004,14,1-0,Deportivo - Málaga,Deportivo,Málaga
1274,2003-2004,14,1-0,Osasuna - Espanyol,Osasuna,Espanyol
1275,2003-2004,14,3-0,Racing - Celta,Racing,Celta
1276,2003-2004,14,2-0,Real Valladolid - Athletic,Real Valladolid,Athletic
1277,2003-2004,14,2-1,R. Sociedad - Mallorca,R. Sociedad,Mallorca
1278,2003-2004,14,4-2,Real Madrid - Recreativo,Real Madrid,Recreativo
1279,2003-2004,14,0-3,Barcelona - Sevilla,Barcelona,Sevilla
1280,2003-2004,15,1-2,Atlético - Racing,Atlético,Racing
1281,2003-2004,15,2-0,Athletic - Alavés,Athletic,Alavés
1282,2003-2004,15,2-3,Málaga - Real Madrid,Málaga,Real Madrid
1283,2003-2004,15,3-1,Celta - Villarreal,Celta,Villarreal
1284,2003-2004,15,0-1,Rayo Vallecano - Sevilla,Rayo Vallecano,Sevilla
1285,2003-2004,15,0-4,Mallorca - Barcelona,Mallorca,Barcelona
1286,2003-2004,15,1-3,Recreativo - R. Sociedad,Recreativo,R. Sociedad
1287,2003-2004,15,1-0,Espanyol - Real Valladolid,Espanyol,Real Valladolid
1288,2003-2004,15,2-1,Real Betis - Osasuna,Real Betis,Osasuna
1289,2003-2004,15,0-1,Valencia - Deportivo,Valencia,Deportivo
1290,2003-2004,16,3-0,Real Valladolid - Real Betis,Real Valladolid,Real Betis
1291,2003-2004,16,0-1,Osasuna - Rayo Vallecano,Osasuna,Rayo Vallecano
1292,2003-2004,16,3-4,Racing - Athletic,Racing,Athletic
1293,2003-2004,16,3-0,Deportivo - Celta,Deportivo,Celta
1294,2003-2004,16,3-0,Sevilla - Mallorca,Sevilla,Mallorca
1295,2003-2004,16,2-2,R. Sociedad - Málaga,R. Sociedad,Málaga
1296,2003-2004,16,3-0,Barcelona - Recreativo,Barcelona,Recreativo
1297,2003-2004,16,2-1,Alavés - Espanyol,Alavés,Espanyol
1298,2003-2004,16,4-3,Villarreal - Atlético,Villarreal,Atlético
1299,2003-2004,16,4-1,Real Madrid - Valencia,Real Madrid,Valencia
1300,2003-2004,17,0-1,Celta - Real Madrid,Celta,Real Madrid
1301,2003-2004,17,2-2,Valencia - R. Sociedad,Valencia,R. Sociedad
1302,2003-2004,17,1-2,Rayo Vallecano - Mallorca,Rayo Vallecano,Mallorca
1303,2003-2004,17,1-1,Osasuna - Real Valladolid,Osasuna,Real Valladolid
1304,2003-2004,17,3-0,Espanyol - Racing,Espanyol,Racing
1305,2003-2004,17,2-2,Real Betis - Alavés,Real Betis,Alavés
1306,2003-2004,17,0-1,Athletic - Villarreal,Athletic,Villarreal
1307,2003-2004,17,0-0,Recreativo - Sevilla,Recreativo,Sevilla
1308,2003-2004,17,3-1,Atlético - Deportivo,Atlético,Deportivo
1309,2003-2004,17,0-0,Málaga - Barcelona,Málaga,Barcelona
1310,2003-2004,18,1-0,R. Sociedad - Celta,R. Sociedad,Celta
1311,2003-2004,18,2-4,Barcelona - Valencia,Barcelona,Valencia
1312,2003-2004,18,0-0,Sevilla - Málaga,Sevilla,Málaga
1313,2003-2004,18,0-1,Racing - Real Betis,Racing,Real Betis
1314,2003-2004,18,0-1,Rayo Vallecano - Real Valladolid,Rayo Vallecano,Real Valladolid
1315,2003-2004,18,1-1,Mallorca - Recreativo,Mallorca,Recreativo
1316,2003-2004,18,2-1,Deportivo - Athletic,Deportivo,Athletic
1317,2003-2004,18,1-1,Alavés - Osasuna,Alavés,Osasuna
1318,2003-2004,18,0-0,Villarreal - Espanyol,Villarreal,Espanyol
1319,2003-2004,18,2-2,Real Madrid - Atlético,Real Madrid,Atlético
1320,2003-2004,19,1-2,Atlético - R. Sociedad,Atlético,R. Sociedad
1321,2003-2004,19,1-0,Valencia - Sevilla,Valencia,Sevilla
1322,2003-2004,19,2-1,Recreativo - Rayo Vallecano,Recreativo,Rayo Vallecano
1323,2003-2004,19,3-1,Osasuna - Racing,Osasuna,Racing
1324,2003-2004,19,1-0,Málaga - Mallorca,Málaga,Mallorca
1325,2003-2004,19,3-1,Espanyol - Deportivo,Espanyol,Deportivo
1326,2003-2004,19,2-1,Real Betis - Villarreal,Real Betis,Villarreal
1327,2003-2004,19,1-3,Real Valladolid - Alavés,Real Valladolid,Alavés
1328,2003-2004,19,1-1,Athletic - Real Madrid,Athletic,Real Madrid
1329,2003-2004,19,2-0,Celta - Barcelona,Celta,Barcelona
1330,2003-2004,20,3-0,Atlético - Barcelona,Atlético,Barcelona
1331,2003-2004,20,1-0,Valencia - Mallorca,Valencia,Mallorca
1332,2003-2004,20,0-1,Osasuna - Villarreal,Osasuna,Villarreal
1333,2003-2004,20,2-1,Real Valladolid - Racing,Real Valladolid,Racing
1334,2003-2004,20,0-1,Celta - Sevilla,Celta,Sevilla
1335,2003-2004,20,0-2,Real Betis - Deportivo,Real Betis,Deportivo
1336,2003-2004,20,1-1,Alavés - Rayo Vallecano,Alavés,Rayo Vallecano
1337,2003-2004,20,4-0,Málaga - Recreativo,Málaga,Recreativo
1338,2003-2004,20,2-2,Espanyol - Real Madrid,Espanyol,Real Madrid
1339,2003-2004,20,3-0,Athletic - R. Sociedad,Athletic,R. Sociedad
1340,2003-2004,21,1-0,Villarreal - Real Valladolid,Villarreal,Real Valladolid
1341,2003-2004,21,4-1,Real Madrid - Real Betis,Real Madrid,Real Betis
1342,2003-2004,21,1-1,Deportivo - Osasuna,Deportivo,Osasuna
1343,2003-2004,21,0-2,Mallorca - Celta,Mallorca,Celta
1344,2003-2004,21,0-0,R. Sociedad - Espanyol,R. Sociedad,Espanyol
1345,2003-2004,21,2-0,Racing - Alavés,Racing,Alavés
1346,2003-2004,21,1-1,Recreativo - Valencia,Recreativo,Valencia
1347,2003-2004,21,2-1,Rayo Vallecano - Málaga,Rayo Vallecano,Málaga
1348,2003-2004,21,1-1,Sevilla - Atlético,Sevilla,Atlético
1349,2003-2004,21,2-2,Barcelona - Athletic,Barcelona,Athletic
1350,2003-2004,22,0-2,Espanyol - Barcelona,Espanyol,Barcelona
1351,2003-2004,22,2-0,Valencia - Málaga,Valencia,Málaga
1352,2003-2004,22,0-1,Real Valladolid - Deportivo,Real Valladolid,Deportivo
1353,2003-2004,22,4-1,Celta - Recreativo,Celta,Recreativo
1354,2003-2004,22,2-0,Athletic - Sevilla,Athletic,Sevilla
1355,2003-2004,22,1-0,Alavés - Villarreal,Alavés,Villarreal
1356,2003-2004,22,2-0,Racing - Rayo Vallecano,Racing,Rayo Vallecano
1357,2003-2004,22,1-0,Osasuna - Real Madrid,Osasuna,Real Madrid
1358,2003-2004,22,2-1,Atlético - Mallorca,Atlético,Mallorca
1359,2003-2004,22,3-2,Real Betis - R. Sociedad,Real Betis,R. Sociedad
1360,2003-2004,23,3-1,Real Madrid - Real Valladolid,Real Madrid,Real Valladolid
1361,2003-2004,23,6-0,Deportivo - Alavés,Deportivo,Alavés
1362,2003-2004,23,4-0,Barcelona - Real Betis,Barcelona,Real Betis
1363,2003-2004,23,1-0,Sevilla - Espanyol,Sevilla,Espanyol
1364,2003-2004,23,3-0,Recreativo - Atlético,Recreativo,Atlético
1365,2003-2004,23,2-0,R. Sociedad - Osasuna,R. Sociedad,Osasuna
1366,2003-2004,23,1-1,Mallorca - Athletic,Mallorca,Athletic
1367,2003-2004,23,0-3,Villarreal - Racing,Villarreal,Racing
1368,2003-2004,23,1-1,Málaga - Celta,Málaga,Celta
1369,2003-2004,23,0-4,Rayo Vallecano - Valencia,Rayo Vallecano,Valencia
1370,2003-2004,24,2-0,Espanyol - Mallorca,Espanyol,Mallorca
1371,2003-2004,24,2-3,Athletic - Recreativo,Athletic,Recreativo
1372,2003-2004,24,1-5,Alavés - Real Madrid,Alavés,Real Madrid
1373,2003-2004,24,3-0,Real Valladolid - R. Sociedad,Real Valladolid,R. Sociedad
1374,2003-2004,24,1-2,Racing - Deportivo,Racing,Deportivo
1375,2003-2004,24,2-2,Osasuna - Barcelona,Osasuna,Barcelona
1376,2003-2004,24,1-1,Celta - Valencia,Celta,Valencia
1377,2003-2004,24,2-1,Villarreal - Rayo Vallecano,Villarreal,Rayo Vallecano
1378,2003-2004,24,2-1,Atlético - Málaga,Atlético,Málaga
1379,2003-2004,24,0-1,Real Betis - Sevilla,Real Betis,Sevilla
1380,2003-2004,25,4-1,Real Madrid - Racing,Real Madrid,Racing
1381,2003-2004,25,2-1,Deportivo - Villarreal,Deportivo,Villarreal
1382,2003-2004,25,1-1,Barcelona - Real Valladolid,Barcelona,Real Valladolid
1383,2003-2004,25,0-1,Valencia - Atlético,Valencia,Atlético
1384,2003-2004,25,0-0,Recreativo - Espanyol,Recreativo,Espanyol
1385,2003-2004,25,1-0,Rayo Vallecano - Celta,Rayo Vallecano,Celta
1386,2003-2004,25,2-1,Mallorca - Real Betis,Mallorca,Real Betis
1387,2003-2004,25,3-0,Málaga - Athletic,Málaga,Athletic
1388,2003-2004,25,2-0,Sevilla - Osasuna,Sevilla,Osasuna
1389,2003-2004,25,3-1,R. Sociedad - Alavés,R. Sociedad,Alavés
1390,2003-2004,26,0-1,Villarreal - Real Madrid,Villarreal,Real Madrid
1391,2003-2004,26,2-0,Deportivo - Rayo Vallecano,Deportivo,Rayo Vallecano
1392,2003-2004,26,1-2,Racing - R. Sociedad,Racing,R. Sociedad
1393,2003-2004,26,0-0,Osasuna - Mallorca,Osasuna,Mallorca
1394,2003-2004,26,2-1,Espanyol - Málaga,Espanyol,Málaga
1395,2003-2004,26,1-1,Real Betis - Recreativo,Real Betis,Recreativo
1396,2003-2004,26,0-0,Real Valladolid - Sevilla,Real Valladolid,Sevilla
1397,2003-2004,26,0-1,Atlético - Celta,Atlético,Celta
1398,2003-2004,26,0-0,Alavés - Barcelona,Alavés,Barcelona
1399,2003-2004,26,1-0,Athletic - Valencia,Athletic,Valencia
1400,2003-2004,27,0-0,Rayo Vallecano - Atlético,Rayo Vallecano,Atlético
1401,2003-2004,27,3-2,Sevilla - Alavés,Sevilla,Alavés
1402,2003-2004,27,1-1,Recreativo - Osasuna,Recreativo,Osasuna
1403,2003-2004,27,2-2,R. Sociedad - Villarreal,R. Sociedad,Villarreal
1404,2003-2004,27,2-1,Mallorca - Real Valladolid,Mallorca,Real Valladolid
1405,2003-2004,27,0-0,Málaga - Real Betis,Málaga,Real Betis
1406,2003-2004,27,2-1,Celta - Athletic,Celta,Athletic
1407,2003-2004,27,1-1,Valencia - Espanyol,Valencia,Espanyol
1408,2003-2004,27,6-1,Barcelona - Racing,Barcelona,Racing
1409,2003-2004,27,2-0,Real Madrid - Deportivo,Real Madrid,Deportivo
1410,2003-2004,28,3-1,Real Madrid - Rayo Vallecano,Real Madrid,Rayo Vallecano
1411,2003-2004,28,2-0,Real Betis - Valencia,Real Betis,Valencia
1412,2003-2004,28,2-0,Villarreal - Barcelona,Villarreal,Barcelona
1413,2003-2004,28,0-0,Espanyol - Celta,Espanyol,Celta
